OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,BedroomAbvGr,GarageCars,GarageArea,LotArea,Neighborhood,HouseStyle,Exterior,GarageType,SaleCondition,SalePrice
6,1819,1926,856,2,4,0,737,7322,Edwards,1Story,VinylSd,None,Normal,337725
7,1610,2004,1189,2,5,2,475,7095,CollgCr,SFoyer,VinylSd,None,Normal,417152
6,1246,1939,1534,3,2,2,662,13147,NAmes,SLvl,Wd Sdng,BuiltIn,Normal,359550
3,924,1957,989,3,1,1,457,10419,Sawyer,SLvl,VinylSd,None,Normal,199142
10,1893,1927,893,1,1,2,704,11014,Edwards,1.5Fin,MetalSd,Attchd,Normal,550974
10,1793,1925,1155,3,5,1,421,17903,Somerst,2Story,Wd Sdng,CarPort,Normal,393452
8,1455,2012,1015,2,5,3,340,7170,Gilbert,2Story,MetalSd,BuiltIn,Normal,371738
10,2331,1962,465,3,4,2,248,8804,Sawyer,SFoyer,Plywood,Detchd,Family,483776
8,1018,1965,1096,1,3,0,419,11533,Sawyer,2Story,VinylSd,Attchd,Normal,406048
6,814,1924,461,3,1,0,465,6080,NridgHt,SLvl,BrkFace,CarPort,Normal,210918
5,1189,2019,1150,2,5,2,280,9977,Edwards,2Story,BrkFace,Attchd,Normal,308871
9,1479,1902,681,2,1,1,405,9090,Gilbert,SFoyer,Wd Sdng,Attchd,Partial,407965
9,1610,1971,1015,1,5,0,355,31406,Edwards,SLvl,BrkFace,Detchd,Normal,396400
6,1391,1943,1156,3,2,1,256,9414,NridgHt,2Story,Wd Sdng,CarPort,Normal,312824
4,1658,1996,1982,3,1,2,636,15148,NAmes,SLvl,VinylSd,Attchd,Normal,374517
4,937,1941,1297,3,2,2,668,13075,Somerst,1.5Fin,HdBoard,Detchd,Normal,272458
10,2150,2015,1546,2,1,0,636,5348,Crawfor,1.5Fin,HdBoard,BuiltIn,Normal,525175
9,1463,1998,1749,1,3,2,435,4483,Crawfor,1.5Fin,MetalSd,Detchd,Normal,487641
9,2003,1905,1196,3,4,3,446,10058,Edwards,2Story,VinylSd,None,Partial,463080
8,1654,1938,1114,2,2,3,259,15848,NridgHt,SFoyer,BrkFace,Detchd,Partial,419751
5,1706,1951,573,2,5,0,525,10245,BrkSide,SLvl,VinylSd,Detchd,Normal,303249
3,1756,1922,953,2,3,3,481,9325,Somerst,1Story,Plywood,Detchd,Normal,314675
4,1701,1988,711,3,1,1,962,7920,Edwards,1.5Fin,HdBoard,Attchd,Normal,301391
9,1789,1949,840,3,2,0,646,4960,BrkSide,1.5Fin,BrkFace,CarPort,Normal,398804
8,2098,1942,1748,3,1,0,507,5842,Somerst,1Story,HdBoard,Detchd,Normal,471912
7,1588,1918,1046,3,1,1,443,4337,BrkSide,1Story,VinylSd,Detchd,Family,404274
8,1819,1968,650,3,1,3,630,5479,Sawyer,2Story,BrkFace,None,Normal,360411
4,1460,1950,,3,4,3,285,,Edwards,SLvl,MetalSd,None,Normal,325601
4,2148,1910,1382,3,4,3,655,12761,NridgHt,1.5Fin,VinylSd,BuiltIn,Partial,336866
8,1196,2019,1403,3,5,0,254,7367,Somerst,SFoyer,MetalSd,BuiltIn,Normal,358671
3,2310,1911,198,3,2,0,349,10097,Crawfor,2Story,BrkFace,None,Normal,288018
6,1482,1973,1779,2,3,3,119,9565,Edwards,2Story,HdBoard,CarPort,Normal,408095
4,856,1907,777,3,3,2,561,11266,Somerst,SFoyer,Plywood,BuiltIn,Normal,226221
8,1558,1923,1311,1,3,3,495,5649,Somerst,SFoyer,Wd Sdng,CarPort,Normal,338518
9,1194,1991,2010,2,1,1,349,14496,BrkSide,SFoyer,HdBoard,None,Normal,383873
8,1878,1940,1862,3,4,0,283,4778,BrkSide,1Story,MetalSd,BuiltIn,Normal,448397
5,1206,1935,609,1,2,1,698,7357,Gilbert,1.5Fin,VinylSd,Detchd,Family,171600
6,1299,2000,422,3,1,1,426,8916,Edwards,1Story,BrkFace,None,Family,347755
7,650,1984,1572,1,4,0,312,12671,CollgCr,1.5Fin,HdBoard,BuiltIn,Normal,322013
3,1296,1971,,1,4,2,796,16742,OldTown,1Story,Plywood,CarPort,Normal,313011
10,500,1954,800,1,2,3,332,12716,CollgCr,SLvl,BrkFace,CarPort,Normal,353050
7,787,1908,1248,1,2,1,655,17020,Somerst,1.5Fin,MetalSd,BuiltIn,Normal,223556
6,1842,1946,935,2,2,0,243,6197,Gilbert,2Story,BrkFace,CarPort,Normal,354438
6,1854,1914,1281,2,1,1,386,15377,Somerst,1.5Fin,BrkFace,BuiltIn,Family,400998
6,1691,1947,1027,1,5,3,540,14234,CollgCr,1.5Fin,VinylSd,BuiltIn,Abnorml,399885
7,1065,2009,1289,3,2,2,440,3061,Somerst,1.5Fin,Wd Sdng,CarPort,Normal,332046
9,1479,2003,642,1,5,2,494,8150,BrkSide,SLvl,MetalSd,Attchd,Normal,409182
6,1498,1981,1570,2,1,2,353,11800,Edwards,1Story,,Detchd,Normal,349901
8,979,1941,1279,3,5,0,162,7137,Crawfor,2Story,Wd Sdng,None,Normal,300766
7,2177,1959,1259,2,3,0,714,5521,CollgCr,1Story,VinylSd,Detchd,Normal,434529
10,1895,1983,553,2,5,2,364,23303,OldTown,1Story,Wd Sdng,None,Normal,409316
6,1401,1969,1680,3,2,3,502,9461,OldTown,SFoyer,Wd Sdng,None,Normal,342841
8,1512,1911,995,1,1,3,576,9578,BrkSide,SLvl,Wd Sdng,Detchd,Normal,349334
9,1594,1901,1291,1,2,0,506,,Edwards,SFoyer,VinylSd,BuiltIn,Abnorml,335826
5,581,1906,871,1,3,2,322,6832,NAmes,SLvl,BrkFace,CarPort,Normal,239685
9,1389,1979,1104,1,2,3,659,6009,NAmes,1Story,Wd Sdng,Attchd,Normal,462218
10,1193,1902,1119,3,2,3,542,14625,NridgHt,1Story,BrkFace,Attchd,Normal,403669
6,1049,2008,0,3,2,3,486,11294,NridgHt,SLvl,MetalSd,Attchd,Normal,245974
10,1374,1902,1233,3,4,0,482,6962,CollgCr,1Story,Plywood,Detchd,Normal,421103
7,2309,1926,1786,2,3,2,753,11582,BrkSide,1Story,BrkFace,Detchd,Normal,504185
4,1788,2013,1216,3,2,1,319,8030,BrkSide,2Story,Plywood,BuiltIn,Abnorml,307292
6,1243,2006,617,1,2,2,525,10002,Somerst,SFoyer,Wd Sdng,Attchd,Normal,305571
4,1758,1939,1260,2,2,2,355,9980,OldTown,SFoyer,Plywood,BuiltIn,Normal,340748
8,2130,2001,1424,1,1,0,101,10874,OldTown,SFoyer,Plywood,Attchd,Normal,492606
5,1916,1932,1205,1,4,3,97,10299,OldTown,1.5Fin,Wd Sdng,Detchd,Normal,346681
3,1527,1991,970,3,1,3,267,10878,Gilbert,2Story,BrkFace,CarPort,Normal,251589
10,1209,1900,903,3,4,0,331,15837,Edwards,SFoyer,Wd Sdng,,Abnorml,389380
9,1814,2018,901,1,2,0,841,12007,Sawyer,SFoyer,MetalSd,CarPort,Normal,448052
5,1677,1907,1279,1,3,0,576,7734,Somerst,2Story,HdBoard,CarPort,Normal,307505
6,1903,2000,437,2,5,0,592,8612,NAmes,1Story,VinylSd,None,Normal,320485
4,1786,1931,851,3,5,0,335,15655,BrkSide,SFoyer,Wd Sdng,Attchd,Normal,319288
9,1972,1947,1638,2,2,1,461,9467,NAmes,1Story,Wd Sdng,CarPort,Normal,470461
4,1259,2006,1654,2,1,2,865,7606,Gilbert,SFoyer,Plywood,None,Normal,288920
7,2093,2000,409,2,3,2,231,6775,NAmes,SLvl,MetalSd,None,Normal,401008
4,1589,1903,547,1,4,2,532,10177,OldTown,1.5Fin,Plywood,None,Normal,228760
7,2434,1993,892,2,2,3,740,6126,Crawfor,SFoyer,BrkFace,BuiltIn,Partial,476026
8,1190,1969,1357,2,3,1,624,16045,Somerst,SLvl,Wd Sdng,BuiltIn,Normal,357817
9,2281,2009,269,1,3,2,774,5642,Crawfor,2Story,Wd Sdng,None,Family,439490
9,1589,2017,978,3,4,3,488,17503,NridgHt,SLvl,Plywood,CarPort,Normal,440504
3,1207,1918,810,3,3,1,559,7916,Crawfor,2Story,Wd Sdng,Attchd,Abnorml,227786
6,1282,1931,,2,1,1,470,5544,Sawyer,SFoyer,BrkFace,Detchd,Normal,357773
7,1356,1908,329,1,1,3,546,9800,BrkSide,2Story,HdBoard,BuiltIn,Normal,350903
3,1691,1911,1037,3,1,1,285,5861,Gilbert,SLvl,VinylSd,CarPort,Family,263396
4,1735,1910,843,2,3,3,593,9140,BrkSide,1.5Fin,VinylSd,CarPort,Normal,337858
4,1242,1945,1588,2,1,2,503,6940,Sawyer,1Story,VinylSd,Detchd,Partial,311006
3,1489,2018,1239,1,4,3,461,13770,BrkSide,1Story,HdBoard,Detchd,Partial,296609
9,2464,1915,766,2,3,1,764,9571,Crawfor,1.5Fin,Wd Sdng,CarPort,Normal,445995
4,2277,1900,1341,3,5,2,402,5272,Edwards,1Story,Plywood,Detchd,Normal,349522
10,1696,1962,844,1,3,2,667,6880,BrkSide,SFoyer,MetalSd,CarPort,Normal,458924
8,1517,2008,1400,3,4,0,685,12360,NridgHt,SFoyer,Wd Sdng,Detchd,Normal,377929
8,1554,2018,905,3,5,0,604,16061,Somerst,SLvl,HdBoard,Detchd,Normal,365061
10,1776,2016,1422,3,3,1,276,8818,Somerst,SLvl,BrkFace,CarPort,Normal,537877
3,1040,1920,1174,2,1,3,515,5625,NAmes,2Story,HdBoard,None,Normal,283981
10,1384,1929,2304,2,2,3,803,14462,CollgCr,SLvl,VinylSd,CarPort,Abnorml,446069
7,749,1912,979,3,2,1,123,12335,Crawfor,SFoyer,Wd Sdng,Attchd,Normal,304423
7,1680,1933,1153,3,1,2,416,16203,OldTown,SLvl,VinylSd,Detchd,Normal,381747
3,1791,1903,808,1,2,1,659,10256,Sawyer,1Story,MetalSd,,Abnorml,280059
10,1283,1927,1001,1,2,1,429,7120,Gilbert,2Story,BrkFace,Detchd,Normal,399817
7,2208,2001,0,2,1,2,596,11357,Crawfor,2Story,VinylSd,Attchd,Normal,435487
9,948,1994,1186,2,1,3,704,10424,Somerst,SFoyer,MetalSd,BuiltIn,Normal,407207
10,841,1958,1537,1,3,1,492,6949,NAmes,SLvl,HdBoard,BuiltIn,Normal,386197
9,1601,2018,1159,3,3,3,542,9842,BrkSide,1Story,VinylSd,CarPort,Normal,485617
7,1971,1926,474,2,1,1,467,8244,OldTown,SLvl,VinylSd,None,Normal,370080
8,2258,1968,679,3,4,2,504,12576,OldTown,1.5Fin,Plywood,CarPort,Family,439367
7,1294,1924,28,1,2,2,828,11230,CollgCr,SLvl,BrkFace,BuiltIn,Normal,318021
9,1985,1902,1392,2,3,0,438,5607,Edwards,SFoyer,BrkFace,BuiltIn,Normal,417819
5,1483,1996,597,2,2,2,386,5358,CollgCr,SLvl,HdBoard,None,Normal,315443
6,1422,1967,989,1,5,0,638,8644,BrkSide,2Story,Plywood,Detchd,Partial,294481
4,1898,1924,939,2,1,1,298,9134,Crawfor,1Story,MetalSd,None,Abnorml,279924
10,1794,1919,1595,1,4,3,339,12675,NridgHt,SFoyer,MetalSd,CarPort,Normal,441175
5,791,1933,1034,2,5,2,340,,Sawyer,1.5Fin,HdBoard,Detchd,Normal,214046
7,2164,1925,1324,1,5,2,404,17351,OldTown,1Story,BrkFace,CarPort,Normal,387100
8,2121,1904,1219,2,5,2,412,7294,Gilbert,1Story,MetalSd,None,Partial,421641
3,1218,1998,1544,3,1,1,576,7109,Crawfor,2Story,HdBoard,Detchd,Normal,276499
7,1678,1960,904,3,3,0,388,5843,Gilbert,2Story,MetalSd,None,Normal,341995
8,1722,1991,1748,3,1,1,583,12610,NAmes,2Story,,Attchd,Normal,343630
6,1617,1992,206,2,3,3,606,9089,Gilbert,SFoyer,VinylSd,BuiltIn,Normal,399596
7,1252,1908,1343,2,5,1,332,3908,OldTown,SLvl,BrkFace,Detchd,Normal,371932
9,1198,2015,653,3,5,3,602,9857,OldTown,1Story,Wd Sdng,BuiltIn,Normal,416057
3,1489,2001,803,3,4,2,618,10144,OldTown,SLvl,HdBoard,Attchd,Normal,346792
8,2028,1949,1228,1,3,3,133,8434,Crawfor,SLvl,HdBoard,Detchd,Normal,410122
8,1745,1905,1225,1,5,3,503,10285,Crawfor,2Story,Wd Sdng,BuiltIn,Normal,478067
8,1333,1982,1243,1,2,0,359,5197,Sawyer,SLvl,VinylSd,BuiltIn,Normal,331198
6,1847,1959,446,3,4,3,685,18834,Somerst,1Story,VinylSd,Detchd,Normal,370241
7,500,1943,1580,3,1,3,357,10680,Edwards,1Story,Plywood,BuiltIn,Normal,273966
6,2017,2020,640,3,4,1,209,4051,BrkSide,1.5Fin,MetalSd,BuiltIn,Normal,373189
10,717,1910,693,1,2,2,445,8976,BrkSide,SFoyer,Plywood,Detchd,Normal,363046
4,1337,1965,1255,2,3,1,289,10808,NAmes,SLvl,VinylSd,BuiltIn,Normal,280036
4,996,1946,885,3,1,1,603,5454,CollgCr,SFoyer,Wd Sdng,BuiltIn,Normal,267161
10,917,2007,1123,2,1,2,304,11443,Sawyer,SFoyer,,CarPort,Normal,407296
7,2022,2007,,2,3,2,447,19176,Somerst,SFoyer,,CarPort,Partial,367910
9,1290,1972,1114,2,4,3,728,6735,NridgHt,SFoyer,Plywood,Attchd,Normal,392902
6,1656,1984,1087,1,5,3,648,10914,NAmes,1Story,HdBoard,CarPort,Normal,404627
3,1479,1987,796,2,4,0,536,9886,Crawfor,SLvl,Wd Sdng,CarPort,Normal,228654
8,1715,1997,170,3,2,1,427,13915,Somerst,1.5Fin,Plywood,Attchd,Family,403864
8,1535,1985,915,1,5,2,519,8570,OldTown,SFoyer,Plywood,BuiltIn,Normal,436195
7,923,1902,985,3,4,3,574,5569,Crawfor,1.5Fin,Plywood,BuiltIn,Normal,260795
9,1948,1975,853,3,3,2,272,13519,CollgCr,1Story,HdBoard,CarPort,Normal,481357
4,1278,1991,266,1,2,3,603,5720,CollgCr,1Story,HdBoard,Attchd,Normal,349025
4,800,1929,1638,3,2,0,252,20312,BrkSide,2Story,HdBoard,BuiltIn,Normal,246400
8,1307,1989,744,3,2,0,553,11583,Edwards,SFoyer,MetalSd,None,Normal,368283
7,2175,2011,911,1,5,2,251,6874,Edwards,2Story,HdBoard,Detchd,Normal,462055
6,1883,1920,36,3,1,0,803,14822,NridgHt,1.5Fin,HdBoard,Detchd,Normal,294843
4,1343,1927,1638,2,5,2,587,8963,Crawfor,SLvl,HdBoard,Detchd,Abnorml,308185
6,1343,2019,813,3,4,3,170,8147,Crawfor,2Story,Wd Sdng,CarPort,Normal,305933
9,1355,1989,1039,2,1,1,450,6625,CollgCr,1Story,HdBoard,Detchd,Normal,400092
4,2435,1961,1448,3,4,0,356,3865,OldTown,SFoyer,MetalSd,Detchd,Abnorml,378989
4,1672,1932,729,1,1,3,335,11813,OldTown,1.5Fin,Plywood,None,Abnorml,325981
5,1694,1984,1385,1,5,1,476,4326,Gilbert,1Story,Wd Sdng,BuiltIn,Family,380815
4,1964,1934,175,3,2,1,283,6298,OldTown,SLvl,VinylSd,None,Partial,259807
10,1607,1951,1220,1,3,1,587,10935,Somerst,SFoyer,HdBoard,CarPort,Family,414334
3,1383,1933,1629,3,2,3,577,7184,Edwards,SLvl,Plywood,Detchd,Normal,362333
10,1412,1940,768,1,5,3,513,9660,OldTown,SLvl,Plywood,BuiltIn,Partial,418519
7,1468,1950,1448,2,1,2,446,5213,Sawyer,SFoyer,Wd Sdng,Detchd,Partial,383281
7,1483,1946,1734,3,2,1,569,7694,Crawfor,SFoyer,VinylSd,Detchd,Normal,372070
6,1827,1981,898,2,5,1,592,9687,OldTown,SLvl,BrkFace,CarPort,Normal,328946
10,1523,1957,865,2,4,1,532,5865,Gilbert,1.5Fin,MetalSd,Detchd,Family,472574
10,1830,1974,641,3,3,2,214,,NridgHt,SFoyer,BrkFace,Attchd,Normal,428715
10,1464,1956,796,2,2,1,308,6756,NridgHt,1Story,Plywood,BuiltIn,Partial,369205
9,1535,1922,674,3,1,3,402,16735,CollgCr,2Story,BrkFace,BuiltIn,Normal,387439
4,601,1947,640,2,4,1,184,8345,OldTown,1.5Fin,Plywood,Attchd,Normal,134165
3,1912,1921,1480,3,5,0,490,4443,Crawfor,SFoyer,BrkFace,CarPort,Normal,268655
6,1656,1916,684,3,3,3,704,5396,Crawfor,SFoyer,Plywood,Detchd,Normal,311255
10,1949,1968,1103,1,1,2,675,9742,Edwards,1.5Fin,Plywood,Detchd,Normal,492390
10,500,2007,1015,3,5,1,583,14325,NridgHt,2Story,Wd Sdng,BuiltIn,Normal,333206
5,2440,1910,1599,3,5,0,581,19958,CollgCr,SLvl,VinylSd,CarPort,Normal,407538
6,1437,1993,799,2,2,2,849,9535,OldTown,1Story,Plywood,CarPort,Normal,388937
10,1999,1914,1152,3,2,2,602,5299,NridgHt,SFoyer,MetalSd,CarPort,Normal,490086
6,1032,1990,1316,1,1,3,617,10202,NridgHt,2Story,MetalSd,Detchd,Normal,331421
4,1776,1934,1596,2,5,2,191,6208,Crawfor,1Story,HdBoard,CarPort,Normal,339499
5,1026,1932,793,2,2,2,690,10737,OldTown,1.5Fin,Plywood,Attchd,Normal,218331
6,1219,1983,753,1,3,2,522,5892,NAmes,SFoyer,Plywood,None,Normal,314848
3,2361,1915,575,2,3,2,436,3515,OldTown,SLvl,Plywood,CarPort,Normal,285835
3,1414,1933,1895,2,5,1,391,16278,Somerst,1.5Fin,BrkFace,None,Normal,307926
7,1598,1965,1554,2,2,1,351,8128,NridgHt,SFoyer,Plywood,Detchd,Normal,471536
5,1892,1998,983,2,1,1,676,9203,Edwards,2Story,Plywood,CarPort,Normal,365299
5,1723,1939,1773,1,1,1,445,14094,NAmes,1Story,MetalSd,BuiltIn,Partial,278340
7,1568,2019,959,1,1,0,358,20962,Gilbert,1Story,VinylSd,Detchd,Abnorml,347272
6,1664,1927,1290,2,3,1,311,12444,CollgCr,SFoyer,VinylSd,Attchd,Partial,349987
5,2582,1946,1004,2,2,2,481,9427,OldTown,1.5Fin,HdBoard,Attchd,Normal,402348
3,1474,1938,1159,1,2,1,385,11084,Edwards,SLvl,MetalSd,None,Normal,238037
3,1590,1969,1117,1,3,1,344,7882,Gilbert,2Story,Plywood,None,Normal,287180
10,1973,1972,830,1,1,3,201,9147,Gilbert,SFoyer,VinylSd,BuiltIn,Normal,432537
4,1997,1919,1437,2,1,2,623,9606,NridgHt,2Story,Wd Sdng,BuiltIn,Family,308748
5,2034,1900,1286,2,5,1,425,6317,Somerst,1Story,Wd Sdng,Attchd,Normal,367163
6,1787,1971,1411,3,4,1,255,9086,NridgHt,SLvl,Wd Sdng,CarPort,Normal,334612
7,986,2018,1128,1,2,1,401,10617,CollgCr,2Story,Plywood,Attchd,Normal,352767
7,2235,1986,637,2,2,0,549,11358,NAmes,SFoyer,Plywood,Attchd,Partial,342489
6,984,1962,1684,1,2,1,455,10957,Crawfor,SLvl,HdBoard,BuiltIn,Partial,379009
9,1636,1966,895,2,4,3,484,4927,Sawyer,1.5Fin,HdBoard,None,Normal,402426
8,1161,1903,1146,1,5,2,458,15649,NAmes,SFoyer,HdBoard,BuiltIn,Abnorml,345107
4,1471,1957,1254,2,4,2,220,15075,CollgCr,2Story,BrkFace,BuiltIn,Normal,317036
7,1648,1924,1143,3,1,1,621,8619,Crawfor,SLvl,Wd Sdng,BuiltIn,Abnorml,340818
5,1645,1946,1366,3,1,1,143,11047,Gilbert,SFoyer,Plywood,Attchd,Family,334704
4,1690,1937,1429,1,2,1,533,8164,NAmes,SLvl,Wd Sdng,CarPort,Partial,331152
5,2226,1914,910,2,3,2,561,12624,Crawfor,SLvl,HdBoard,Attchd,Normal,394921
9,1704,1962,1650,2,2,2,410,6239,OldTown,SLvl,Plywood,Detchd,Normal,475752
3,1390,1920,893,1,3,0,514,16467,NridgHt,2Story,MetalSd,BuiltIn,Normal,225492
4,1934,1998,1135,2,4,3,400,12345,Sawyer,SFoyer,VinylSd,BuiltIn,Normal,353143
10,2035,1956,845,1,1,0,516,12474,Edwards,1Story,VinylSd,Detchd,Partial,523419
7,948,2016,731,2,3,3,629,8584,OldTown,1Story,HdBoard,BuiltIn,Normal,373931
4,1769,1952,1418,1,4,0,307,4766,NAmes,2Story,Wd Sdng,BuiltIn,Normal,276041
4,1816,1945,2249,2,1,2,571,13397,BrkSide,2Story,MetalSd,BuiltIn,Normal,366665
4,1366,2015,855,1,3,0,755,4838,Crawfor,SLvl,Plywood,Detchd,Normal,262395
8,2119,1913,1486,2,2,3,498,13469,Gilbert,SFoyer,Wd Sdng,Attchd,Normal,446448
4,1432,1999,870,3,2,1,359,6358,Gilbert,SFoyer,HdBoard,BuiltIn,Normal,244568
5,1557,1975,996,2,2,3,857,4406,BrkSide,1.5Fin,Wd Sdng,CarPort,Normal,326968
3,1422,1916,1703,1,4,1,,9004,NAmes,1.5Fin,HdBoard,Detchd,Normal,336659
9,1507,1938,571,3,2,2,492,15325,Gilbert,1Story,BrkFace,,Partial,409778
6,1007,1908,465,2,5,3,495,5828,Somerst,1.5Fin,VinylSd,Detchd,Normal,199609
4,852,1998,965,3,1,0,531,18482,Gilbert,1.5Fin,VinylSd,Attchd,Abnorml,277760
7,2218,1976,1265,2,4,3,389,12095,Sawyer,1Story,Wd Sdng,Detchd,Normal,482762
4,1119,1978,1185,3,2,1,484,9658,Somerst,1Story,MetalSd,None,Normal,257325
7,1054,1981,1144,1,1,2,621,7398,CollgCr,1.5Fin,Plywood,CarPort,Normal,367444
5,531,2014,1014,2,3,0,383,7634,CollgCr,SFoyer,HdBoard,None,Normal,208736
7,1212,1996,1315,2,2,3,374,10922,Crawfor,1.5Fin,Plywood,Detchd,Normal,359466
10,905,1905,0,1,1,1,397,13170,Somerst,SLvl,VinylSd,None,Normal,378574
6,2239,1990,700,3,5,0,252,6891,OldTown,SLvl,MetalSd,Detchd,Normal,362414
3,1954,1922,963,1,3,2,327,6261,Crawfor,SLvl,MetalSd,CarPort,Normal,235314
7,1190,1958,1282,1,5,0,320,8174,OldTown,2Story,Plywood,CarPort,Normal,325404
7,2514,1990,1596,3,1,2,450,16850,Sawyer,SLvl,VinylSd,Attchd,Normal,467159
3,1942,1997,646,1,5,0,601,5205,NridgHt,SFoyer,Plywood,CarPort,Normal,325453
6,1354,2019,1583,2,1,3,712,15049,NAmes,2Story,Wd Sdng,BuiltIn,Abnorml,380207
4,500,1945,819,2,1,1,460,9173,Somerst,2Story,MetalSd,None,Normal,187660
7,2531,1937,948,2,5,3,532,4278,BrkSide,SLvl,MetalSd,None,Normal,483832
3,875,1913,1233,1,1,3,494,7312,Edwards,1.5Fin,Wd Sdng,Detchd,Family,243258
10,760,1999,919,2,2,2,73,11841,NAmes,1Story,VinylSd,CarPort,Normal,356664
10,1960,2016,1444,2,1,2,243,20248,Sawyer,1.5Fin,MetalSd,Attchd,Family,535965
5,2598,1971,838,2,4,2,,4953,Somerst,1.5Fin,BrkFace,Attchd,Normal,407708
3,2123,1961,844,2,1,3,605,2531,CollgCr,2Story,BrkFace,Attchd,Partial,331117
5,1754,1934,1421,2,4,0,600,4992,NAmes,2Story,BrkFace,BuiltIn,Normal,331012
10,1768,1918,695,2,1,0,418,14968,OldTown,2Story,HdBoard,CarPort,Abnorml,368952
6,1884,1929,1100,1,1,3,91,4015,BrkSide,SFoyer,HdBoard,Attchd,Normal,361582
4,1842,1977,336,2,5,3,265,17654,NAmes,SFoyer,VinylSd,BuiltIn,Normal,318285
3,1627,1983,1728,2,2,1,292,15547,Edwards,1Story,Wd Sdng,None,Normal,299442
9,1547,2012,1483,3,2,2,563,9808,Sawyer,2Story,Plywood,Detchd,Normal,487465
10,1472,1924,2100,1,3,2,386,6789,Sawyer,SLvl,VinylSd,CarPort,Normal,466509
10,1161,1939,1535,1,5,3,754,9227,Crawfor,2Story,Plywood,CarPort,Normal,461472
9,1374,1987,548,1,5,3,714,11849,Sawyer,SFoyer,VinylSd,None,Abnorml,403309
8,738,1913,1267,1,2,0,751,11062,Crawfor,2Story,HdBoard,CarPort,Normal,340915
10,1456,1925,633,2,5,3,285,19689,Sawyer,SFoyer,BrkFace,CarPort,Partial,432518
7,1055,2001,1631,2,2,0,538,8006,Edwards,2Story,,CarPort,Normal,340930
6,1003,1986,560,3,5,3,364,5012,Sawyer,SLvl,HdBoard,CarPort,Family,308860
3,1581,1921,540,3,1,1,509,4629,BrkSide,1Story,Wd Sdng,,Abnorml,212320
9,2126,1947,356,1,2,1,305,4231,NridgHt,SLvl,Plywood,BuiltIn,Normal,436402
7,1913,2020,805,3,2,0,671,9831,CollgCr,SFoyer,VinylSd,Detchd,Partial,379243
9,793,1982,724,3,4,2,308,8099,BrkSide,1.5Fin,MetalSd,CarPort,Partial,334745
3,1055,2009,495,1,5,1,99,9133,Sawyer,SLvl,MetalSd,None,Normal,265426
5,1923,1950,1796,1,5,0,816,7068,Somerst,2Story,Wd Sdng,Attchd,Normal,310827
3,1058,1902,1212,3,2,3,530,5461,OldTown,1Story,BrkFace,Detchd,Normal,234483
8,1399,1941,1165,2,1,3,258,11866,NridgHt,2Story,BrkFace,Attchd,Partial,428920
3,1748,1918,1636,3,1,0,421,2971,CollgCr,2Story,Wd Sdng,Attchd,Normal,294903
3,1064,1972,1103,3,1,2,346,6275,OldTown,SLvl,HdBoard,CarPort,Normal,249730
8,1547,1927,701,2,5,0,451,12822,BrkSide,1Story,MetalSd,None,Normal,357095
6,900,1983,320,2,4,0,595,6001,Edwards,1.5Fin,HdBoard,Attchd,Normal,262729
10,1229,1944,678,1,2,1,566,10735,Edwards,2Story,Plywood,Attchd,Partial,330822
3,1644,1970,1602,1,3,0,496,6278,OldTown,1Story,MetalSd,Detchd,Family,275646
8,783,1977,498,3,4,0,451,7331,Somerst,1.5Fin,Plywood,None,Normal,352983
7,1698,1962,1141,2,3,3,644,11657,OldTown,2Story,VinylSd,None,Normal,374709
5,1491,1972,1414,1,4,1,103,5064,BrkSide,1Story,HdBoard,Attchd,Normal,315174
5,1749,2018,1114,3,1,3,315,12586,OldTown,SLvl,Wd Sdng,None,Normal,351708
3,1601,2020,1160,2,5,3,274,,CollgCr,2Story,MetalSd,Detchd,Normal,314629
6,2114,1918,1262,3,3,2,631,15841,Somerst,2Story,HdBoard,Detchd,Normal,367811
6,1556,1946,1152,1,4,2,317,9884,Gilbert,1Story,Wd Sdng,Detchd,Normal,366556
7,1307,2015,1644,1,5,1,219,5562,NAmes,2Story,VinylSd,CarPort,Normal,382221
3,1555,1913,584,2,3,1,549,19586,Gilbert,1.5Fin,MetalSd,Attchd,Normal,270389
5,1744,2019,1096,3,2,2,286,5775,Crawfor,2Story,Plywood,None,Normal,321127
6,1522,1937,273,2,4,2,387,8125,OldTown,SFoyer,VinylSd,Detchd,Partial,302043
3,1518,1952,171,1,2,2,879,13847,Edwards,1.5Fin,BrkFace,Attchd,Normal,239935
9,1184,1960,967,1,1,2,592,3862,Gilbert,1Story,Wd Sdng,Attchd,Normal,400593
6,1202,1935,1217,3,2,2,412,17203,Sawyer,1.5Fin,MetalSd,CarPort,Partial,294732
8,869,1939,1652,3,2,3,428,5362,BrkSide,SFoyer,MetalSd,None,Normal,401793
9,2287,1980,1968,3,4,1,613,7334,Gilbert,SFoyer,VinylSd,None,Normal,536930
10,940,1929,1528,2,1,3,569,10249,NridgHt,2Story,MetalSd,Detchd,Normal,377619
6,1188,1908,1291,3,2,3,464,8833,Somerst,2Story,Wd Sdng,Detchd,Normal,312104
5,1177,1963,1064,3,5,0,469,12837,BrkSide,SLvl,VinylSd,Attchd,Partial,257647
4,1903,1932,388,1,3,3,184,4379,Edwards,1.5Fin,Plywood,None,Normal,405439
